id,company_id_datasetA,number_matches_datasetB,valid
1,44587,2,true
2,44636,1,true
3,44665,2,true
4,44723,2,true
5,44744,1,true
6,44784,2,true
7,44785,1,true
8,44851,1,true
9,44995,2,true
10,45006,1,true
11,45104,1,true
12,45148,3,true
13,45185,1,true
14,45194,1,true
15,45237,1,true
16,45302,2,true
17,45348,42,true
18,45404,1,true
19,45407,1,true
20,45468,1,true
21,45532,1,true
22,45544,1,true
23,45674,1,true
24,45679,1,true
25,45686,1,true
26,45732,1,true
27,45748,2,true
28,45755,1,true
29,45803,1,true
30,45893,1,true
31,46010,1,true
32,46026,1,true
33,46119,1,true
34,46127,1,true
35,46158,1,true
36,46218,1,true
37,46224,1,true
38,46281,3,true
39,46311,1,true
40,46318,1,true
41,46350,5,true
42,46369,2,true
43,46378,1,true
44,46391,42,true
45,46405,7,true
46,46468,1,true
47,46534,1,true
48,46594,1,true
49,46665,1,true
50,46724,1,true
51,46741,1,true
52,46815,2,true
53,46819,1,true
54,46844,42,true
55,46912,42,true
56,46952,3,true
57,47065,1,true
58,47069,2,true
59,47080,1,true
60,47205,1,true
61,47311,1,true
62,47313,1,true
63,47389,1,true
64,47418,5,true
65,47517,1,true
66,47561,1,true
67,47598,8,true
68,47642,1,true
69,47675,1,true
70,47681,1,true
71,47699,1,true
72,47707,1,true
73,47727,3,true
74,47862,2,true
75,47875,1,true
76,47892,5,true
77,47976,2,true
78,47980,3,true
79,48030,1,true
80,48149,3,true
81,48190,1,true
82,48218,1,true
83,48258,1,true
84,48344,1,true
85,48347,11,true
86,48398,1,true
87,48507,1,true
88,48649,1,true
89,48657,4,true
90,48714,1,true
91,48782,1,true
92,48818,4,true
93,48828,1,true
94,48836,1,true
95,48923,2,true
96,49039,1,true
97,49073,1,true
98,49106,1,true
99,49123,1,true
100,49130,7,true
101,49152,1,true
102,49200,5,true
103,49232,1,true
104,49241,1,true
105,49257,3,true
106,49260,1,true
107,49302,1,true
108,49340,1,true
109,49386,7,true
110,49417,1,true
111,49578,1,true
112,49636,1,true
113,49681,1,true
114,49697,2,true
115,49734,1,true
116,49789,3,true
117,49821,1,true
118,49861,1,true
119,49890,1,true
120,49895,1,true
121,49907,1,true
122,49961,1,true
123,50117,1,true
124,50256,3,true
125,50304,4,true
126,50419,2,true
127,50451,1,true
128,50460,1,true
129,50504,1,true
130,50551,1,true
131,50606,1,true
132,50761,1,true
133,50832,5,true
134,50847,1,true
135,50955,2,true
136,50967,1,true
137,50999,1,true
138,51059,1,true
139,51100,1,true
140,51127,2,true
141,51172,1,true
142,51210,1,true
143,51241,2,true
144,51284,2,true
145,368788,2,true
146,368802,2,true
147,368826,5,true
148,368830,1,true
149,368845,2,true
150,368848,1,true
151,368855,13,true
152,368866,5,true
153,368867,8,true
154,368880,3,true
155,368886,13,true
156,368889,4,true
157,368899,1,true
158,368937,5,true
159,368938,2,true
160,368940,2,true
161,368946,1,true
162,368955,1,true
163,368961,1,true
164,368963,2,true
165,368966,3,true
166,368974,16,true
167,369003,3,true
168,369013,8,true
169,369026,1,true
170,369028,1,true
171,369029,1,true
172,369049,4,true
173,369062,2,true
174,369075,4,true
175,369081,2,true
176,369084,1,true
177,369092,2,true
178,369099,6,true
179,369105,3,true
180,369114,1,true
181,369125,8,true
182,369129,7,true
183,369140,16,true
184,369146,1,true
185,369151,2,true
186,369196,1,true
187,369208,1,true
188,369210,3,true
189,369211,1,true
190,369212,1,true
191,369225,2,true
192,369227,1,true
193,369235,1,true
194,369238,5,true
195,369253,3,true
196,369264,3,true
197,369274,1,true
198,369277,1,true
199,369302,1,true
200,369306,3,true
201,369314,6,true
202,369325,3,true
203,369330,2,true
204,369356,11,true
205,369364,1,true
206,369373,1,true
207,369383,1,true
208,369393,2,true
209,369410,1,true
210,369412,4,true
211,369460,16,true
212,369468,13,true
213,369469,2,true
214,369476,1,true
215,369478,1,true
216,369479,4,true
217,369484,1,true
218,369506,2,true
219,369507,4,true
220,369518,1,true
221,369554,16,true
222,369558,4,true
223,369572,2,true
224,369574,3,true
225,369582,8,true
226,369587,1,true
227,369595,7,true
228,369596,16,true
229,369598,1,true
230,369599,16,true
231,369607,1,true
232,369608,1,true
233,369619,11,true
234,369621,2,true
235,369624,4,true
236,369634,1,true
237,369643,2,true
238,369691,8,true
239,369712,1,true
240,369733,5,true
241,369743,1,true
242,369764,3,true
243,369768,12,true
244,369781,1,true
245,369786,1,true
246,369790,1,true
247,369801,1,true
248,369808,2,true
249,369840,3,true
250,369841,2,true
251,369861,3,true
252,369862,3,true
253,369878,4,true
254,369885,5,true
255,369892,1,true
256,369896,1,true
257,369901,10,true
258,369906,3,true
259,369945,4,true
260,369946,1,true
261,369956,1,true
262,369971,5,true
263,369980,1,true
264,370003,4,true
265,370016,2,true
266,370023,4,true
267,370032,1,true
268,370035,1,true
269,370040,1,true
270,370043,1,true
271,370053,3,true
272,370070,1,true
273,370074,1,true
274,370080,3,true
275,370083,2,true
276,370085,2,true
277,370091,3,true
278,370126,11,true
279,370135,2,true
280,370146,12,true
281,370154,2,true
282,370158,2,true
283,370159,2,true
284,370171,1,true
285,370175,1,true
286,370179,16,true
287,370180,1,true
288,370182,10,true
289,370193,2,true
290,370209,2,true
291,370215,3,true
292,370216,2,true
293,370221,2,true
294,370232,3,true
295,370262,1,true
296,370263,5,true
297,370268,2,true
298,370269,4,true
299,370285,10,true
300,370293,2,true
301,370300,13,true
302,370306,8,true
303,370309,3,true
304,370336,7,true
305,370341,2,true
306,370350,1,true
307,370353,5,true
308,370362,16,true
309,370377,1,true
310,370383,1,true
311,370387,10,true
312,370401,13,true
313,370410,10,true
314,370432,1,true
315,370451,1,true
316,370452,5,true
317,370457,10,true
318,370461,1,true
319,370472,2,true
320,370473,1,true
321,370476,2,true
322,370479,1,true
323,370506,1,true
324,370517,2,true
325,370523,1,true
326,370540,3,true
327,370543,1,true
328,370552,2,true
329,370578,12,true
330,370579,1,true
331,370589,1,true
332,370601,1,true
333,370809,1,true
334,371062,1,true
335,371126,1,true
336,371150,1,true
337,371546,2,true
338,371665,2,true
339,373825,1,true
340,373833,1,true
341,373969,2,true
342,374069,1,true
343,374451,1,true
344,374542,2,true
345,374554,1,true
346,374751,1,true
347,374886,2,true
348,374897,1,true
349,375349,2,true
350,376061,1,true
351,376072,1,true
352,376119,2,true
353,376161,1,true
354,377128,1,true
355,377203,1,true
356,377599,1,true
357,377956,1,true
358,378052,1,true
359,378067,2,true
360,378140,1,true
361,379135,1,true
362,379181,1,true
363,379187,1,true
364,379583,1,true
365,379805,1,true
366,381117,13,true
367,381630,2,true
368,381828,1,true
369,382268,2,true
370,382642,1,true
371,382825,1,true
372,382952,4,true
373,383195,1,true
374,383854,1,true
375,383967,2,true
376,383970,2,true
377,383976,1,true
378,384067,1,true
379,384288,1,true
380,384291,1,true
381,384601,1,true
382,384746,2,true
383,384751,1,true
384,384905,1,true
385,384992,3,true
386,385153,1,true
387,385372,2,true
388,385398,42,true
389,385406,1,true
390,385615,1,true
391,385622,1,true
392,385645,1,true
393,385715,3,true
394,385870,1,true
395,385879,7,true
396,386092,3,true
397,386163,1,true
398,386166,1,true
399,386207,4,true
400,386241,1,true
401,386304,1,true
402,386393,1,true
403,386468,3,true
404,386704,3,true
405,386822,1,true
406,387244,1,true
407,387897,4,true
408,388030,3,true
409,388578,2,true
410,388970,1,true
411,389049,1,true
412,389258,1,true
413,390095,2,true
414,390376,1,true
415,390649,1,true
416,390737,4,true
417,391382,1,true
418,392782,1,true
419,393058,2,true
420,393092,1,true
421,393140,1,true
422,393443,1,true
423,393491,1,true
424,393798,3,true
425,393828,2,true
426,394204,5,true
427,395455,1,true
428,396128,3,true
429,396299,1,true
430,396374,1,true
431,397182,1,true
432,397323,2,true
433,397630,1,true
434,397930,1,true
435,397968,1,true
436,397993,1,true
437,398021,1,true
438,398151,1,true
439,398232,1,true
440,398304,1,true
441,398408,1,true
442,398481,1,true
443,398690,1,true
444,398853,1,true
445,398883,1,true
446,399006,1,true
447,399010,1,true
448,399033,2,true
449,399036,1,true
450,399101,2,true
451,399103,1,true
452,399211,1,true
453,399424,1,true
454,399567,1,true
455,404816,1,true
456,404825,1,true
457,404975,1,true
458,405149,1,true
459,405587,1,true
460,406066,1,true
461,406233,1,true
462,406265,1,true
463,406520,2,true
464,406611,1,true
465,406832,1,true
466,406893,1,true
467,407589,4,true
468,407600,1,true
469,412676,1,true
470,412815,1,true
471,412945,1,true
472,412993,3,true
473,414227,1,true
474,414332,1,true
475,414987,2,true
476,415512,1,true
477,415678,2,true
478,416061,1,true
479,416764,1,true
480,416963,2,true
481,417325,1,true
482,418444,1,true
483,418566,1,true
484,418695,2,true
485,418716,1,true
486,419202,1,true
487,420164,1,true
488,421243,1,true
489,421624,1,true
490,421637,1,true
491,421707,5,true
492,421737,1,true
493,421739,2,true
494,421842,1,true
495,422060,1,true
496,422125,5,true
497,422553,3,true
498,422937,2,true
499,422958,3,true
500,423103,2,true
501,423176,2,true
502,423768,2,true
503,423801,1,true
504,423817,2,true
505,423873,1,true
506,423877,3,true
507,423924,1,true
508,424588,2,true
509,424590,1,true
510,51366,1,true
511,51488,1,true
512,51663,1,true
513,51697,1,true
514,51725,1,true
515,51756,1,true
516,51856,3,true
517,51900,1,true
518,52003,1,true
519,52041,1,true
520,52048,1,true
521,52052,1,true
522,52152,1,true
523,52211,1,true
524,52222,1,true
525,52251,1,true
526,52260,1,true
527,52302,3,true
528,52321,1,true
529,52324,1,true
530,52530,1,true
531,52552,1,true
532,52563,1,true
533,52638,5,true
534,52658,1,true
535,52667,3,true
536,52690,1,true
537,52726,2,true
538,52751,1,true
539,52752,1,true
540,52801,1,true
541,52887,1,true
542,52940,1,true
543,53026,2,true
544,53031,2,true
545,53043,1,true
546,53112,1,true
547,53128,1,true
548,53186,1,true
549,53265,1,true
550,53340,3,true
551,53357,1,true
552,53405,1,true
553,53407,1,true
554,53423,1,true
555,53494,1,true
556,53559,1,true
557,53569,2,true
558,53583,1,true
559,53594,1,true
560,53604,1,true
561,53654,2,true
562,53805,5,true
563,53807,1,true
564,53829,1,true
565,53834,1,true
566,53839,1,true
567,53847,1,true
568,54015,1,true
569,54091,1,true
570,54141,2,true
571,54172,1,true
572,54498,1,true
573,54506,1,true
574,54534,2,true
575,54549,1,true
576,54671,1,true
577,54697,1,true
578,54930,2,true
579,54955,1,true
580,55047,1,true
581,55050,2,true
582,55110,1,true
583,55185,1,true
584,55223,1,true
585,55246,2,true
586,55374,1,true
587,55416,1,true
588,55447,1,true
589,55461,1,true
590,55505,3,true
591,55670,1,true
592,55685,1,true
593,55705,1,true
594,55866,1,true
595,55896,2,true
596,55910,1,true
597,55916,2,true
598,55937,1,true
599,55938,1,true
600,55949,1,true
601,55982,1,true
602,55985,1,true
603,56006,1,true
604,56016,1,true
605,56079,2,true
606,56103,1,true
607,56154,1,true
608,56314,1,true
609,56377,1,true
610,56482,1,true
611,56667,2,true
612,56719,1,true
613,56744,2,true
614,56755,1,true
615,56804,42,true
616,56829,1,true
617,56858,2,true
618,56862,1,true
619,56876,4,true
620,56946,4,true
621,57051,1,true
622,57069,1,true
623,57135,7,true
624,57197,11,true
625,57207,1,true
626,57294,1,true
627,57316,3,true
628,57350,1,true
629,57398,2,true
630,57437,1,true
631,57502,3,true
632,57509,1,true
633,57534,1,true
634,57575,1,true
635,57648,1,true
636,57711,1,true
637,57738,1,true
638,57743,1,true
639,57837,3,true
640,57886,2,true
641,57903,1,true
642,57962,1,true
643,57968,1,true
644,57997,1,true
645,58003,1,true
646,58066,1,true
647,58097,1,true
648,58224,4,true
649,58314,1,true
650,58389,4,true
651,58435,1,true
652,58466,6,true
653,58555,1,true
654,58561,1,true
655,58565,1,true
656,58656,1,true
657,58668,1,true
658,58685,1,true
659,58706,2,true
660,58715,1,true
661,58728,1,true
662,58746,1,true
663,58765,2,true
664,58836,3,true
665,58899,1,true
666,58956,1,true
667,59130,1,true
668,59139,1,true
669,59232,2,true
670,59241,1,true
671,59248,1,true
672,59251,1,true
673,59260,2,true
674,59280,1,true
675,59294,1,true
676,59297,8,true
677,59323,2,true
678,59356,1,true
679,59373,1,true
680,59430,2,true
681,59444,1,true
682,59512,1,true
683,59520,1,true
684,59538,1,true
685,59557,1,true
686,59604,1,true
687,59696,1,true
688,59854,1,true
689,59895,2,true
690,59926,1,true
691,59940,1,true
692,59983,1,true
693,60050,9,true
694,60139,1,true
695,60150,1,true
696,60195,1,true
697,60268,1,true
698,60276,2,true
699,60311,1,true
700,60417,5,true
701,60471,1,true
702,60505,1,true
703,60561,1,true
704,60563,1,true
705,60605,2,true
706,60687,1,true
707,60752,1,true
708,60830,1,true
709,60843,1,true
710,60866,2,true
711,60960,1,true
712,60969,1,true
713,60973,1,true
714,61112,1,true
715,61253,1,true
716,61283,1,true
717,61374,4,true
718,61460,2,true
719,61549,1,true
720,61575,1,true
721,61598,1,true
722,61599,1,true
723,61608,1,true
724,61647,1,true
725,61701,1,true
726,61749,2,true
727,61774,4,true
728,61777,1,true
729,61792,1,true
730,61849,1,true
731,61861,1,true
732,61906,2,true
733,61939,1,true
734,61988,42,true
735,61994,1,true
736,62030,1,true
737,62071,1,true
738,62084,1,true
739,62172,1,true
740,62194,1,true
741,62242,1,true
742,62334,1,true
